Station,X,Y,Z,Dimension,Value,Unit
2799,-36.201516,20.013605,0.004511,,NA,
2800,-36.164827,20.080229,0.00339,,NA,
2801,-36.128015,20.146786,0.004312,,NA,
2802,-36.091081,20.213275,0.003047,,NA,
2803,-36.054025,20.279696,0.00436,,NA,
2804,-36.016846,20.346048,0.003739,,NA,
2805,-35.979546,20.412332,0.005217,,NA,
2806,-35.942124,20.478548,0.005707,,NA,
2807,-35.90458,20.544695,0.004806,,NA,
2808,-35.866915,20.610772,0.004519,,NA,
2809,-35.829128,20.67678,0.004653,,NA,
2810,-35.79122,20.742719,0.004957,,NA,
2811,-35.753191,20.808587,0.003769,,NA,
2812,-35.71504,20.874386,0.00389,,NA,
2813,-35.676769,20.940114,0.003415,,NA,
2814,-35.638377,21.005772,0.003123,,NA,
2815,-35.599864,21.071359,0.002992,,NA,
2816,-35.561231,21.136876,0.003179,,NA,
2817,-35.522477,21.202321,0.003741,,NA,
2818,-35.483603,21.267694,0.004699,,NA,
2819,-35.444609,21.332997,0.004109,,NA,
2820,-35.405495,21.398227,0.004699,,NA,
2821,-35.366261,21.463385,0.004067,,NA,
2822,-35.326907,21.528471,0.006158,,NA,
2823,-35.287434,21.593485,0.004874,,NA,
2824,-35.247841,21.658426,0.004668,,NA,
2825,-35.208129,21.723294,0.003439,,NA,
2826,-35.168298,21.788088,0.003907,,NA,
2827,-35.128347,21.85281,0.003956,,NA,
2828,-35.088278,21.917458,0.003691,,NA,
2829,-35.04809,21.982032,0.003667,,NA,
2830,-35.007783,22.046532,0.003467,,NA,
2831,-34.967357,22.110958,0.003581,,NA,
2832,-34.926813,22.175309,0.002928,,NA,
2833,-34.886151,22.239586,0.003266,,NA,
2834,-34.845371,22.303788,0.005158,,NA,
2835,-34.804473,22.367915,0.004942,,NA,
2836,-34.763457,22.431966,0.003226,,NA,
2837,-34.722323,22.495942,0.005478,,NA,
2838,-34.681072,22.559842,0.004589,,NA,
2839,-34.639703,22.623667,0.002135,,NA,
2840,-34.598217,22.687415,0.00378,,NA,
2841,-34.556614,22.751087,0.003827,,NA,
2842,-34.514894,22.814682,0.004402,,NA,
2843,-34.473057,22.8782,0.003698,,NA,
2844,-34.431103,22.941641,0.004413,,NA,
2845,-34.389032,23.005005,0.005004,,NA,
2846,-34.346846,23.068292,0.005048,,NA,
2847,-34.304543,23.1315,0.004371,,NA,
2848,-34.262123,23.194631,0.003257,,NA,
2849,-34.219588,23.257684,0.002514,,NA,
2850,-34.176937,23.320659,0.002275,,NA,
2851,-34.13417,23.383555,0.001939,,NA,
2852,-34.091287,23.446372,0.00173,,NA,
2853,-34.04829,23.50911,0.002257,,NA,
2854,-34.005176,23.571769,0.00222,,NA,
2855,-33.961948,23.634349,0.001967,,NA,
2856,-33.918605,23.696849,0.002634,,NA,
2857,-33.875147,23.759269,0.004097,,NA,
2858,-33.831574,23.82161,0.004346,,NA,
2859,-33.787886,23.88387,0.003479,,NA,
2860,-33.744084,23.946049,0.002544,,NA,
2861,-33.700168,24.008148,0.002637,,NA,
2862,-33.656138,24.070166,0.002849,,NA,
2863,-33.611994,24.132103,0.002564,,NA,
2864,-33.567736,24.193959,0.002918,,NA,
2865,-33.523364,24.255733,0.002247,,NA,
2866,-33.478879,24.317426,0.002008,,NA,
2867,-33.43428,24.379037,0.0028,,NA,
2868,-33.389569,24.440565,0.003614,,NA,
2869,-33.344744,24.502012,0.003476,,NA,
2870,-33.299806,24.563375,0.003128,,NA,
2871,-33.254755,24.624656,0.003716,,NA,
2872,-33.209592,24.685854,0.00304,,NA,
2873,-33.164317,24.746969,0.002519,,NA,
2874,-33.118929,24.808001,0.002758,,NA,
2875,-33.073429,24.868949,0.002767,,NA,
2876,-33.027817,24.929813,0.003922,,NA,
2877,-32.982093,24.990593,0.00294,,NA,
2878,-32.936257,25.051289,0.00395,,NA,
2879,-32.89031,25.111901,0.003954,,NA,
2880,-32.844252,25.172428,0.002864,,NA,
2881,-32.798082,25.23287,0.003006,,NA,
2882,-32.751802,25.293228,0.003016,,NA,
2883,-32.70541,25.3535,0.002213,,NA,
2884,-32.658908,25.413686,0.002659,,NA,
2885,-32.612295,25.473788,0.002365,,NA,
2886,-32.565571,25.533803,0.001827,,NA,
2887,-32.518737,25.593732,0.001151,,NA,
2888,-32.471794,25.653575,0.001881,,NA,
2889,-32.42474,25.713332,0.002978,,NA,
2890,-32.377576,25.773002,0.001829,,NA,
2891,-32.330303,25.832585,0.001332,,NA,
2892,-32.28292,25.892081,0.001359,,NA,
2893,-32.235428,25.95149,0.001156,,NA,
